Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
The 22 Immutable Laws of Branding (Blinkist Summary),"<i>The 22 Immutable Laws of Branding</i> is a practical, hands-on guide to the dos and don'ts of branding as expressed by 22 simple laws: the Law of Expansion, the Law of Contraction, the Law of Quantity, and more. These laws illuminate the all-too-common mistakes made by marketers and showcase the tricks of the trade used by the most successful brands to assert their dominance in ultra-competitive markets. Discover how to narrow your focus for maximum impact, grow intelligently, build trust, develop a powerful logo and brand name, and even reinvent a brand. With these tips, you can build your company, product, or service into a world-class, world-wide brand.<br><br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=The-22-Immutable-Laws-of-Branding-Blinkist"" target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2022-07-12 07:03 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2022-09-02 17:27 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2022-10-18 05:17 UTC,N/A,false,N/A,
MySQL Advanced Topics,"Get more out to the world’s most popular RDMS. Learn to take full advantage of some of the more advanced features in MySQL, including views, transactions, triggers, and stored procedures. In this course, Bill Weinman helps you take your MySQL skills to the next level. Discover how to facilitate rapid lookups with indexes, search for data in a result set provided by another select statement with subselects, and put database-intensive operations into stored functions and procedures for faster, more modular, and more efficient programming. Plus, learn how to ensure data integrity with transactions and cross-reference distributed data with foreign key constraints. These techniques allow you to create more performant and stable databases for all your development projects, from web applications to data warehouses.<br><br>

This course was created by Bill Weinman. We are pleased to host this training in our library.",Course,2022-04-29 09:19 UTC,N/A,false,N/A,
Moving DEI from Intention to Impact with Ruchika Tulshyan,"You’ve probably encountered initiatives at your workplace focused on increasing inclusion. Some seem to work, some have no effect, and some even have a negative impact. What differentiates these efforts at creating inclusive environments? While they may all be created with good intentions, good intentions alone are not enough. In fact, as Ruchika Tulshyan illustrates in this course, good intentions without awareness can be the biggest barrier to creating a truly inclusive environment, because many of us believe intention alone is enough to make change. They’re not. Your intentions may be positive, but they may not be received positively. True impact requires much more effort than simply having good intentions, it takes learning and regular practice. Take this course to find out how.",Course,2023-04-06 17:37 UTC,N/A,false,N/A,
Learning PHP,"PHP remains one most popular server-side languages used to build dynamic websites. Although it is not especially difficult to use, nonprogrammers often find it intimidating. This introductory course was designed to change that by teaching you PHP through a series of clear, focused, and easy-to-follow lessons. After briefly explaining what PHP is, instructor Joe Casabona introduces the features of the language. Joe covers control structures, variables, arguments, and person class in a series of hands-on exercises. He then moves on to more advanced topics, including try/catch statements, resolving changes between versions of PHP, and form validation. Upon wrapping up this course, you'll have the skills you need to start developing and maintaining interactive websites using PHP.",Course,2022-05-17 07:24 UTC,N/A,false,N/A,
JavaScript: Best Practices for Code Formatting,"JavaScript offers developers tremendous power, but also a wide variety of code style choices. Its evolution over decades and shifts in audience and approach have left communities fragmented and impeded code sharing. In this course, longtime coder and teacher Sasha Vodnik provides a core set of practices for creating code that can be read by more people than its creators. Learn about formatting details like commenting, punctuation, and spacing to maximize your code's ability to travel and thrive.",Course,2022-08-19 17:53 UTC,N/A,false,N/A,
Learning C++,"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2023-03-03 13:04 UTC,N/A,false,N/A,
Learning Node.js,"Node.js is a platform built on the Chrome JavaScript runtime that can help you build fast, scalable network applications. Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient—perfect for data-intensive real-time applications that run across distributed devices. In this course, learn the basics of Node.js, and discover how to build a simple application. Alexander Zanfir goes into topics such as npm, reading and writing files, and Node.js frameworks. He covers Node.js features, such as async/await, and dives into popular web development concepts. Alexander also walks through how to build a demo chat app from start to finish.",Course,2022-07-04 17:46 UTC,N/A,false,N/A,
Computer Vision on the Raspberry Pi 4,"More and more applications are using computer vision to detect and recognize objects. These applications usually execute on large computers, but developers can save money and power by running them on single-board computers (SBCs). The Raspberry Pi 4 is one of the most popular SBCs available. It's also the first computer in the Raspberry Pi family powerful enough to execute computer vision applications. Also, the software needed to build these applications can be downloaded freely from the Internet.  In this course, instructor Matt Scarpino shows programmers how to write and execute computer vision applications on the Raspberry Pi 4. Matt introduces you to using the Thonny IDE, the OpenCV library, and NumPy array operations. He steps through object detection and neural networks, then explores convolutional neural networks (CNNs), including the Keras package and the TensorFlow package. Matt also walks you through what you can do with a Raspberry Pi HQ camera.",Course,2022-11-11 05:39 UTC,N/A,false,N/A,
